seed,AR_max,succ
709,0.9870076855673016,0.72745
710,1.0,1.0
711,1.0,1.0
712,1.0,1.0
713,1.0,1.0
714,0.9933358808553971,0.8251
715,0.9782925569457814,0.1418
716,0.9980902599486522,0.8351
717,1.0,1.0
718,1.0,1.0
719,0.9999937078856312,0.99995
722,0.9999977176821736,0.99995
723,0.9999328454147682,0.99925
724,1.0,1.0
726,1.0,1.0
727,1.0,1.0
728,0.9999827406727028,0.9998
729,1.0,1.0
730,0.9866240289432692,0.37595
731,1.0,1.0
